Drug (Proper Name),Brand Name(s),Disease / Indication,Disease Category,Drug Target (Gene),Dose,Frequency,Duration of Use
pegzilarginase,Loargys,Arginase 1 deficiency (hyperargininemia),Enzyme Deficiency,ARG1,0.1 mg/kg IV (start); titrate to 0.2 mg/kg,Once weekly,Lifelong
alpha,Prolastin-C / Glassia,Alpha-1 antitrypsin deficiency (AATD) with emphysema,Enzyme Deficiency,SERPINA1,60 mg/kg IV,Once weekly,Lifelong augmentation
"immune globulin intravenous, human",Gammagard / Privigen / Gamunex / Flebogamma,Primary immunodeficiency disease (PIDD),Hematology – Immunodeficiency,IGHG1 (polyclonal IgG),400–600 mg/kg IV,Every 3–4 weeks,Lifelong
"immune globulin intravenous, human",Gammagard / Privigen,Chronic inflammatory demyelinating polyneuropathy (CIDP),Neurology – Neuromuscular,IGHG1 (polyclonal IgG),1–2 g/kg IV (loading); then 0.5–1 g/kg,Every 3–4 weeks,Indefinite (or until CIDP remission)
"immune globulin intravenous, human",Privigen / Gammagard,Immune thrombocytopenic purpura (ITP) – acute,Hematology – Rare Blood,IGHG1 (polyclonal IgG),0.4–1 g/kg IV,1–3 days (acute); repeat courses PRN,As needed for platelet-stabilization
"immune globulin subcutaneous (human), 20% liquid",Hizentra / Cuvitru,Primary immunodeficiency disease,Hematology – Immunodeficiency,IGHG1 (polyclonal IgG),~0.2–0.4 g/kg total weekly dose SC (divided),Weekly (or every 2 weeks for facilitated SC),Lifelong
"immune globulin subcutaneous (human), 20% liquid",Hizentra,CIDP,Neurology – Neuromuscular,IGHG1 (polyclonal IgG),0.2–0.4 g/kg SC weekly,Weekly,Indefinite
daxibotulinumtoxina,Daxxify,Cervical dystonia,Neurology – Movement Disorder,SNAP25,125–250 IU IM (injected into affected muscles),Every ~24 weeks (longest-acting BoNT-A),Indefinite (repeated every ~6 months)
letibotulinumtoxina,Letybo,Glabellar (frown) lines,Aesthetic / Neurology,SNAP25,30–40 IU IM (5-point injection),Every 3–4 months,Indefinite (periodic)
nirsevimab,Beyfortus,RSV prevention in infants and young children,Infectious Disease – Prevention,RSV F (viral),50 mg IM (<5 kg) or 100 mg IM (≥5 kg),Once per RSV season,Annual (each RSV season during high-risk years)
clesrovimab-cfor,Clesrovimab (approved name TBD),RSV prevention in infants (≤8 months at birth; ≤24 months at high risk),Infectious Disease – Prevention,RSV F (viral),1000 mg IM,Once per RSV season,Annual during high-risk period
pegloticase,Krystexxa,Refractory chronic gout,Rheumatology / Metabolic,UOX,8 mg IV,Every 2 weeks,Until therapeutic goal (months to years; may stop if serum urate normalizes)
papzimeos,PAPZIMEOS (Precigen),Recurrent respiratory papillomatosis (HPV-associated),Rare / ENT,HPV E6/E7 (viral),Intralesional injection (per surgical session),Repeated at each surgical debulking (~every 1–6 months),Long-term (until disease control)
