Proper Name,Proprietary Name,BLA Number,Category,Subcategory,Primary Indication,Rationale,Long-term Use
eladocagene exuparvovec-tneq,KEBILIDI,125722,ONE-TIME,Gene therapy (AAV),AADC deficiency,Single intracranial surgery + AAV2 infusion,NO
Obecabtagene autoleucel,Aucatzyl,125813,ONE-TIME,CAR-T cell therapy,B-cell ALL,Single CD19-targeting CAR-T infusion,NO
marstacimab,Hympavzi,761369,CHRONIC,Hemophilia prophylaxis,Hemophilia A/B,TFPI inhibitor; long-term prophylaxis,YES
zolbetuximab,Vyloy,761365,LONG-TERM,Anti-claudin 18.2,Gastric / GEJ adenocarcinoma,Q3W + Q6W with chemo; until progression,YES
atezolizumab and hyaluronidase-tqjs,Tecentriq Hybreza,761347,LONG-TERM,Checkpoint inhibitor (PD-L1),NSCLC / TNBC / HCC / UC,SC formulation; until progression,YES
guselkumab,Tremfya,761061,CHRONIC,Autoimmune biologic,Psoriasis / PsA,IL-23 inhibitor; indefinite maintenance,YES
ocrelizumab and hyaluronidase-ocsq,Ocrevus Zunovo,761371,CHRONIC,Autoimmune biologic,MS (relapsing and PPMS),Anti-CD20; MS disease modification is lifelong,YES
lebrikizumab,Ebglyss,761306,CHRONIC,Autoimmune biologic,Atopic dermatitis,IL-13 inhibitor; long-term maintenance required,YES
"Antihemophilic factor (recombinant), PEGylated-aucl",Jivi,125661,CHRONIC,Coagulation factor,Hemophilia A,PEGylated Factor VIII; long-term prophylaxis,YES
"Smallpox and Mpox Vaccine, Live, Non-replicating",Jynneos,125678,ONE-TIME,Vaccine,Smallpox / mpox prevention,2-dose series; not repeated annually,NO
PAPZIMEOS,PAPZIMEOS,125832,LONG-TERM,DNA immunotherapy,HPV-associated recurrent respiratory papillomatosis,Precigen BLA 125832; repeated dosing cycles for RRP; ongoing until disease control,YES
acellular nerve allograft-arwx,avance nerve graft,125816,ONE-TIME,Nerve graft,Peripheral nerve repair,Single surgical implantation for nerve gap repair,NO
"fibrinogen, human–chmt",FESILTY,125833,SHORT,Clotting protein,Congenital fibrinogen deficiency / acute bleeding,Prophylaxis in severe deficiency may be chronic; acute use is short-term,NO
etuvetidigene autotemcel,waskyra,125846,ONE-TIME,Gene therapy (HSC),Rare hematologic disease,Single autologous HSC gene therapy,NO
onasemnogene abeparvovec-brve,ITVISMA,125856,ONE-TIME,Gene therapy (AAV),Spinal muscular atrophy type 1,Single IV AAV9-SMN1 infusion,NO
narsoplimab-wuug,Yartemlea,761152,LONG-TERM,Complement inhibitor,HSCT-TMA,MASP-2 inhibitor; TMA treatment is finite but may extend months,YES
lerodalcibep-liga,Lerochol,761427,CHRONIC,Lipid-lowering biologic,Hypercholesterolemia / HeFH,PCSK9 inhibitor fusion protein; lifelong monthly dosing,YES
depemokimab,Exdensur,761458,CHRONIC,Autoimmune biologic,Severe eosinophilic asthma / EGPA,Long-acting IL-5 inhibitor; every 6-month maintenance,YES
datopotamab deruxtecan,Datroway,761394,LONG-TERM,ADC (TROP2-DXd),NSCLC / HR+ breast cancer,Q3W until progression; newer approvals for chronic maintenance use,YES
letibotulinumtoxinA,Letybo,761225,PERIODIC,Botulinum toxin,Cervical dystonia / blepharospasm,Repeated injections every 3-6 months for chronic neurological condition,YES
"Chikungunya Vaccine, Recombinant",VIMKUNYA,125820,ONE-TIME,Vaccine,Chikungunya prevention,Single dose,NO
linvoseltamab,Lynozyfic,761400,LONG-TERM,BCMA×CD3 bispecific,Relapsed/refractory myeloma,Weekly then biweekly; until progression,YES
clesrovimab-cfor,Enflonsia,761432,PERIODIC,Anti-RSV mAb,RSV prevention in infants,Seasonal prophylaxis; one dose per RSV season,YES
garadacimab,Andembry,761367,CHRONIC,HAE prophylaxis,Hereditary angioedema (HAE),Factor XIIa inhibitor; monthly SC injection for long-term HAE prevention,YES
tenecteplase,TNKase,103909,SHORT,Thrombolytic,Acute myocardial infarction,Single IV bolus for acute STEMI; one-time use,NO
revakinagene taroretcel-lwey,encelto,125798,ONE-TIME,Gene therapy (retinal),Inherited retinal disease,Subretinal AAV injection; single procedure per eye,NO
penpulimab-kcqx,,761258,LONG-TERM,Checkpoint inhibitor (PD-1),NPC / cancer,Until progression or toxicity,YES
telisotuzumab vedotin,Emrelis,761384,LONG-TERM,ADC (anti-c-MET),NSCLC (c-MET overexpression),Biweekly until disease progression,YES
nipocalimab,Imaavy,761430,CHRONIC,Autoimmune biologic,Generalized myasthenia gravis / HDFN,FcRn blocker; ongoing MG maintenance,YES
Prademagene zamikeracel,zevaskyn,125807,ONE-TIME,Gene therapy (ex vivo skin),Dystrophic epidermolysis bullosa,Gene-corrected autologous keratinocyte grafts; surgical application,NO
sibeprenlimab-szsi,Voyxact,761434,CHRONIC,Autoimmune biologic,IgA nephropathy,APRIL inhibitor; progressive kidney disease requires indefinite treatment,YES
pertuzumab-dpzb,Poherdy,761450,LONG-TERM,HER2 inhibitor (biosimilar),HER2+ breast cancer,Biosimilar pertuzumab; same long-term maintenance use,YES
"Immune Globulin Intravenous, Human",QIVIGY,125822,CHRONIC,Immunoglobulin replacement,Primary immunodeficiency / ITP / CIDP,Regular infusions (every 3-4 weeks for PIDD); lifelong in immunodeficiency,YES
pegloticase,Krystexxa,125293,LONG-TERM,Uricase,Refractory chronic gout,Recombinant uricase; infused every 2 weeks for months; some patients long-term,YES
pembrolizumab and berahyaluronidase alfa,Keytruda Qlex,761467,LONG-TERM,Checkpoint inhibitor (PD-1),Multiple cancers,SC pembrolizumab; until progression (approx. 2 years in many approvals),YES
marnetegragene autotemcel,kresladi,125806,ONE-TIME,Gene therapy (HSC),Sickle cell / hemoglobinopathy,Ex vivo gene addition; single infusion after conditioning,NO
lunsotogene parvec-cwha,OTARMENI,125874,ONE-TIME,Gene therapy (AAV),Rare retinal or metabolic disease,AAV-based single IV/intravitreal delivery,NO
tividenofusp alfa-eknm,Avlayah,761485,CHRONIC,Enzyme replacement / ETV fusion,MPS II (Hunter syndrome),IDS-ETV fusion protein; lifelong IV ERT for lysosomal storage disease,YES
insulin icodec,Awiqli,761326,CHRONIC,Insulin,Type 2 diabetes,Once-weekly ultra-long-acting insulin; indefinite use,YES
pegzilarginase,Loargys,761211,CHRONIC,Enzyme replacement,Arginase 1 deficiency (hyperargininemia),Weekly IV arginase; lifelong urea cycle disorder management,YES
amivantamab and hyaluronidase,Rybrevant Faspro,761484,LONG-TERM,EGFR/MET bispecific (SC),NSCLC (EGFR exon 20),SC formulation; until progression,YES
tesamorelin,Egrifta WR,22505,CHRONIC,GHRH analog,HIV-associated lipodystrophy,Daily SC injection; condition recurs on discontinuation,YES
